method,silhouette,davies_bouldin,calinski_harabasz,ari,nmi
"DBSCAN (eps=0.65, min_samples=5)",0.4805138275278996,0.7007008022632193,155.88053270926235,0.42441412818631774,0.5213844108431438
KMeans (k=3),0.5610505693103247,0.5972661544221366,344.79259483209967,0.8950582389649661,0.8820653444077604
